2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=570917750076&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155653&txnType=01&version=5.0.0 
2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >7eb78aa982767a068a8aea1fb0684d3393df7d75 
2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >VS8zlq2FBP7q512bZ6gJyn9NlvAZ8h2GxMIz1vQtjcJMe4I0WOdFdn9Srem07QaPA2CQX0APDsMl+Wpqq565t6PJaWicYZGZGwRxuAcNqCujw9JQcSh5bvSW3IlPrSiLyOrZyqo281jBkA8BPC4h5Qv+yPSz9cT31Oc2wCzC0/w= 
2015-10-15 15:56:53, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/App/Lib/Service/PayGateway/UpGatewayPayService.class.php ], Line[17]------ ============处理前台请求开始=============== 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[16]------ =====签名报文开始====== 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[23]------ 签名key=val&...串 >accessType=0&backUrl=http://shwguan.com/yinlian.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://www.tp.com/index.php/order/UnionPayFrontReceive&merId=777290058119902&orderId=216333131928&reqReserved= 透传信息&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20151015155755&txnType=01&version=5.0.0 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[26]------ 摘要sha1x16 >2a35384fd40a2ebcd1c113f8da0a8a5b45b3134c 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[34]------ 签名串为 >JLhUJmFfoAlz4yYq8X/AXrNv/dFjHO3a4IUKaW0BmBTtO03tZlzRa1u+TFjD88+zarx4KcIv1WUpGU5KBEOWK9asroKNWYzClh+e5el7hBp4ZiBx7aYYaycgQF3pzOmCwRJwDc7CFpTTBP7Q56kOGIHXYYKrrUl8ubEQdzuebUY= 
2015-10-15 15:57:55, INFO, 192.168.159.1, File[ /mnt/hgfs/thinkphp313/ThinkPHP/Extend/Vendor/UnionPay/Gateway/secureUtil.php ], Line[39]------ =====签名报文结束====== 
